species,country,date,anomaly
Acacia saligna,SI,2021-01-03,Yes
Acacia saligna,SI,2021-07-18,Yes
Acacia saligna,SK,2019-12-08,Yes
Acacia saligna,SK,2023-10-22,Yes
Acridotheres tristis,AT,2019-08-04,Yes
Acridotheres tristis,BE,2023-09-10,Yes
Acridotheres tristis,BE,2024-08-11,Yes
Acridotheres tristis,BG,2016-08-07,Yes
Acridotheres tristis,BG,2016-08-28,Yes
Acridotheres tristis,BG,2017-03-19,Yes
Acridotheres tristis,BG,2018-07-15,Yes
Acridotheres tristis,CY,2017-08-13,Yes
Acridotheres tristis,CY,2020-12-27,Yes
Acridotheres tristis,CY,2023-06-04,Yes
Acridotheres tristis,CY,2023-10-01,Yes
Acridotheres tristis,CZ,2020-02-23,Yes
Acridotheres tristis,CZ,2022-10-30,Yes
Acridotheres tristis,CZ,2023-08-27,Yes
Acridotheres tristis,CZ,2023-10-22,Yes
Acridotheres tristis,DE,2016-01-31,Yes
Acridotheres tristis,DE,2018-01-14,Yes
Acridotheres tristis,DE,2018-05-13,Yes
Acridotheres tristis,DE,2022-05-15,Yes
Acridotheres tristis,EE,2019-07-21,Yes
Acridotheres tristis,EE,2022-08-21,Yes
Acridotheres tristis,ES,2016-05-08,Yes
Acridotheres tristis,ES,2018-07-29,Yes
Acridotheres tristis,ES,2021-07-25,Yes
Acridotheres tristis,FI,2023-12-24,Yes
Acridotheres tristis,FR,2016-05-22,Yes
Acridotheres tristis,FR,2020-04-26,Yes
Acridotheres tristis,FR,2024-05-19,Yes
Acridotheres tristis,FR,2024-06-02,Yes
Acridotheres tristis,GB,2016-03-20,Yes
Acridotheres tristis,GB,2018-03-25,Yes
Acridotheres tristis,GB,2021-07-11,Yes
Acridotheres tristis,GB,2021-08-08,Yes
Acridotheres tristis,GR,2019-09-15,Yes
Acridotheres tristis,GR,2022-01-30,Yes
Acridotheres tristis,HR,2018-04-08,Yes
Acridotheres tristis,HR,2018-07-29,Yes
Acridotheres tristis,HR,2020-05-24,Yes
Acridotheres tristis,HR,2023-05-14,Yes
Acridotheres tristis,IE,2017-05-14,Yes
Acridotheres tristis,IT,2017-01-22,Yes
Acridotheres tristis,IT,2019-10-06,Yes
Acridotheres tristis,IT,2022-02-06,Yes
Acridotheres tristis,IT,2022-04-03,Yes
Acridotheres tristis,LT,2020-08-16,Yes
Acridotheres tristis,LU,2016-08-21,Yes
Acridotheres tristis,LV,2017-03-19,Yes
Acridotheres tristis,LV,2018-08-19,Yes
Acridotheres tristis,LV,2019-03-24,Yes
Acridotheres tristis,LV,2019-06-09,Yes
Acridotheres tristis,MT,2016-02-14,Yes
Acridotheres tristis,MT,2023-01-08,Yes
Acridotheres tristis,NL,2021-05-02,Yes
Acridotheres tristis,NL,2022-12-11,Yes
Acridotheres tristis,PL,2023-02-26,Yes
Acridotheres tristis,PL,2023-04-23,Yes
Acridotheres tristis,PT,2016-01-03,Yes
Acridotheres tristis,PT,2017-07-30,Yes
Acridotheres tristis,PT,2019-07-21,Yes
Acridotheres tristis,PT,2020-05-24,Yes
Acridotheres tristis,RO,2016-08-21,Yes
Acridotheres tristis,RO,2016-10-02,Yes
Acridotheres tristis,RO,2021-09-19,Yes
Acridotheres tristis,RO,2024-08-18,Yes
Acridotheres tristis,SE,2019-12-22,Yes
Ailanthus altissima,AT,2018-08-12,Yes
Ailanthus altissima,AT,2022-08-21,Yes
Ailanthus altissima,AT,2024-05-26,Yes
Ailanthus altissima,AT,2024-06-02,Yes
Ailanthus altissima,BE,2018-08-05,Yes
Ailanthus altissima,BE,2019-07-28,Yes
Ailanthus altissima,BE,2022-08-14,Yes
Ailanthus altissima,BE,2024-06-09,Yes
Ailanthus altissima,BG,2018-03-18,Yes
Ailanthus altissima,BG,2018-09-23,Yes
Ailanthus altissima,BG,2023-08-20,Yes
Ailanthus altissima,CY,2018-12-09,Yes
Ailanthus altissima,CZ,2019-09-29,Yes
Ailanthus altissima,CZ,2024-08-11,Yes
Ailanthus altissima,CZ,2024-08-25,Yes
Ailanthus altissima,CZ,2024-09-29,Yes
Ailanthus altissima,DE,2019-09-15,Yes
Ailanthus altissima,DE,2019-09-22,Yes
Ailanthus altissima,DE,2019-09-29,Yes
Ailanthus altissima,DE,2020-06-28,Yes
Ailanthus altissima,DK,2019-08-11,Yes
Ailanthus altissima,DK,2019-08-18,Yes
Ailanthus altissima,DK,2021-05-23,Yes
Ailanthus altissima,DK,2022-01-16,Yes
Ailanthus altissima,EE,2020-05-03,Yes
Ailanthus altissima,ES,2016-09-18,Yes
Ailanthus altissima,ES,2022-09-18,Yes
Ailanthus altissima,ES,2024-09-22,Yes
Ailanthus altissima,FI,2017-03-12,Yes
Ailanthus altissima,FI,2021-01-17,Yes
Ailanthus altissima,FR,2018-08-19,Yes
Ailanthus altissima,GB,2020-05-24,Yes
Ailanthus altissima,GB,2022-05-15,Yes
Ailanthus altissima,GB,2022-05-22,Yes
Ailanthus altissima,GB,2024-05-19,Yes
Ailanthus altissima,GR,2017-11-19,Yes
Ailanthus altissima,GR,2018-05-27,Yes
Ailanthus altissima,GR,2021-07-11,Yes
Ailanthus altissima,GR,2024-01-21,Yes
Ailanthus altissima,HR,2016-10-30,Yes
Ailanthus altissima,HR,2020-11-22,Yes
Ailanthus altissima,HR,2021-09-05,Yes
Ailanthus altissima,HR,2021-09-12,Yes
Ailanthus altissima,HU,2017-01-29,Yes
Ailanthus altissima,HU,2018-04-08,Yes
Ailanthus altissima,HU,2022-10-30,Yes
Ailanthus altissima,HU,2024-08-18,Yes
Ailanthus altissima,IE,2017-10-22,Yes
Ailanthus altissima,IE,2019-02-10,Yes
Ailanthus altissima,IE,2020-04-26,Yes
Ailanthus altissima,IT,2016-02-21,Yes
Ailanthus altissima,IT,2018-06-17,Yes
Ailanthus altissima,IT,2019-05-26,Yes
Ailanthus altissima,IT,2020-11-22,Yes
Ailanthus altissima,LT,2022-06-19,Yes
Ailanthus altissima,LU,2018-01-07,Yes
Ailanthus altissima,LV,2022-05-01,Yes
Ailanthus altissima,NL,2018-11-25,Yes
Ailanthus altissima,NL,2022-05-22,Yes
Ailanthus altissima,NL,2022-08-14,Yes
Ailanthus altissima,NL,2023-12-17,Yes
Ailanthus altissima,PL,2020-01-19,Yes
Ailanthus altissima,PL,2021-09-12,Yes
Ailanthus altissima,PL,2021-12-12,Yes
Ailanthus altissima,PL,2024-03-17,Yes
Ailanthus altissima,PT,2021-11-21,Yes
Ailanthus altissima,RO,2020-08-16,Yes
Ailanthus altissima,RO,2020-08-30,Yes
Ailanthus altissima,RO,2021-11-07,Yes
Ailanthus altissima,RO,2023-06-04,Yes
Ailanthus altissima,SE,2019-10-27,Yes
Ailanthus altissima,SE,2019-11-17,Yes
Ailanthus altissima,SE,2020-06-28,Yes
Ailanthus altissima,SE,2021-02-28,Yes
Ailanthus altissima,SI,2017-07-09,Yes
Ailanthus altissima,SI,2019-12-22,Yes
Ailanthus altissima,SI,2022-01-16,Yes
Ailanthus altissima,SK,2017-04-02,Yes
Ailanthus altissima,SK,2020-06-07,Yes
Ailanthus altissima,SK,2021-07-11,Yes
Ailanthus altissima,SK,2023-11-12,Yes
Alopochen aegyptiaca,AT,2019-08-25,Yes
Alopochen aegyptiaca,AT,2020-02-02,Yes
Alopochen aegyptiaca,AT,2020-04-19,Yes
Alopochen aegyptiaca,AT,2024-11-17,Yes
Alopochen aegyptiaca,BE,2021-05-23,Yes
Alopochen aegyptiaca,BE,2023-05-07,Yes
Alopochen aegyptiaca,BE,2023-05-14,Yes
Alopochen aegyptiaca,BE,2024-04-28,Yes
Alopochen aegyptiaca,BG,2019-12-01,Yes
Alopochen aegyptiaca,CY,2019-12-08,Yes
Alopochen aegyptiaca,CZ,2016-11-13,Yes
Alopochen aegyptiaca,CZ,2023-04-23,Yes
Alopochen aegyptiaca,CZ,2023-07-09,Yes
Alopochen aegyptiaca,DE,2023-05-07,Yes
Alopochen aegyptiaca,DE,2024-03-31,Yes
Alopochen aegyptiaca,DE,2024-04-07,Yes
Alopochen aegyptiaca,DE,2024-07-28,Yes
Alopochen aegyptiaca,DK,2018-09-23,Yes
Alopochen aegyptiaca,DK,2021-04-11,Yes
Alopochen aegyptiaca,DK,2021-05-02,Yes
Alopochen aegyptiaca,DK,2023-10-22,Yes
Alopochen aegyptiaca,EE,2022-11-27,Yes
Alopochen aegyptiaca,ES,2021-01-31,Yes
Alopochen aegyptiaca,ES,2021-06-20,Yes
Alopochen aegyptiaca,ES,2023-05-14,Yes
Alopochen aegyptiaca,ES,2023-12-03,Yes
Alopochen aegyptiaca,FI,2018-04-01,Yes
Alopochen aegyptiaca,FR,2019-12-22,Yes
Alopochen aegyptiaca,FR,2019-12-29,Yes
Alopochen aegyptiaca,FR,2020-12-27,Yes
Alopochen aegyptiaca,FR,2021-03-14,Yes
Alopochen aegyptiaca,GB,2020-12-27,Yes
Alopochen aegyptiaca,GB,2021-12-26,Yes
Alopochen aegyptiaca,GB,2023-05-21,Yes
Alopochen aegyptiaca,GB,2023-05-28,Yes
Alopochen aegyptiaca,GR,2016-03-27,Yes
Alopochen aegyptiaca,GR,2017-01-29,Yes
Alopochen aegyptiaca,GR,2019-01-27,Yes
Alopochen aegyptiaca,GR,2023-12-31,Yes
Alopochen aegyptiaca,HR,2022-06-12,Yes
Alopochen aegyptiaca,HU,2022-06-19,Yes
Alopochen aegyptiaca,HU,2022-07-24,Yes
Alopochen aegyptiaca,HU,2023-05-28,Yes
Alopochen aegyptiaca,HU,2023-11-19,Yes
Alopochen aegyptiaca,IE,2021-11-07,Yes
Alopochen aegyptiaca,IT,2019-10-13,Yes
Alopochen aegyptiaca,IT,2023-05-07,Yes
Alopochen aegyptiaca,IT,2024-03-17,Yes
Alopochen aegyptiaca,IT,2024-10-13,Yes
Alopochen aegyptiaca,LU,2018-01-14,Yes
Alopochen aegyptiaca,LV,2017-07-09,Yes
Alopochen aegyptiaca,MT,2018-06-24,Yes
Alopochen aegyptiaca,MT,2023-09-24,Yes
Alopochen aegyptiaca,NL,2020-03-08,Yes
Alopochen aegyptiaca,NL,2021-04-18,Yes
Alopochen aegyptiaca,PL,2016-02-28,Yes
Alopochen aegyptiaca,PL,2016-07-10,Yes
Alopochen aegyptiaca,PL,2019-03-03,Yes
Alopochen aegyptiaca,PL,2024-07-07,Yes
Alopochen aegyptiaca,PT,2022-02-06,Yes
Alopochen aegyptiaca,PT,2023-02-26,Yes
Alopochen aegyptiaca,PT,2024-03-03,Yes
Alopochen aegyptiaca,RO,2021-08-29,Yes
Alopochen aegyptiaca,SE,2018-11-18,Yes
Alopochen aegyptiaca,SE,2019-12-22,Yes
Alopochen aegyptiaca,SE,2021-04-11,Yes
Alopochen aegyptiaca,SE,2022-09-04,Yes
Alopochen aegyptiaca,SI,2016-11-27,Yes
Alopochen aegyptiaca,SK,2020-01-19,Yes
Alternanthera philoxeroides,AT,2017-10-01,Yes
Alternanthera philoxeroides,BE,2019-08-11,Yes
Alternanthera philoxeroides,BE,2022-10-02,Yes
Alternanthera philoxeroides,BE,2024-10-20,Yes
Alternanthera philoxeroides,BG,2016-03-13,Yes
Alternanthera philoxeroides,BG,2020-12-06,Yes
Alternanthera philoxeroides,BG,2024-12-01,Yes
Alternanthera philoxeroides,CY,2023-10-29,Yes
Alternanthera philoxeroides,CZ,2019-06-09,Yes
Alternanthera philoxeroides,CZ,2023-08-13,Yes
Alternanthera philoxeroides,CZ,2023-10-22,Yes
Alternanthera philoxeroides,DE,2020-03-01,Yes
Alternanthera philoxeroides,DK,2016-01-17,Yes
Alternanthera philoxeroides,DK,2017-05-21,Yes
Alternanthera philoxeroides,DK,2022-12-25,Yes
Alternanthera philoxeroides,DK,2023-05-07,Yes
Alternanthera philoxeroides,FR,2023-10-22,Yes
Alternanthera philoxeroides,GB,2019-02-17,Yes
Alternanthera philoxeroides,HR,2021-01-24,Yes
Alternanthera philoxeroides,HU,2024-07-28,Yes
Alternanthera philoxeroides,IE,2016-10-09,Yes
Alternanthera philoxeroides,IE,2018-01-14,Yes
Alternanthera philoxeroides,IE,2021-04-25,Yes
Alternanthera philoxeroides,IT,2020-09-06,Yes
Alternanthera philoxeroides,LT,2019-01-06,Yes
Alternanthera philoxeroides,LT,2019-12-15,Yes
Alternanthera philoxeroides,LT,2021-07-11,Yes
Alternanthera philoxeroides,LU,2022-12-18,Yes
Alternanthera philoxeroides,LU,2023-02-12,Yes
Alternanthera philoxeroides,MT,2020-04-19,Yes
Alternanthera philoxeroides,NL,2018-06-03,Yes
Alternanthera philoxeroides,NL,2020-05-17,Yes
Alternanthera philoxeroides,PT,2018-04-08,Yes
Alternanthera philoxeroides,PT,2018-06-10,Yes
Alternanthera philoxeroides,RO,2020-03-01,Yes
Alternanthera philoxeroides,RO,2022-11-27,Yes
Alternanthera philoxeroides,RO,2023-08-27,Yes
Alternanthera philoxeroides,RO,2024-12-29,Yes
Alternanthera philoxeroides,SE,2021-01-17,Yes
Alternanthera philoxeroides,SK,2016-11-20,Yes
Alternanthera philoxeroides,SK,2017-10-29,Yes
Alternanthera philoxeroides,SK,2017-11-12,Yes
Ameiurus melas,AT,2021-02-14,Yes
Ameiurus melas,AT,2021-04-18,Yes
Ameiurus melas,AT,2021-07-11,Yes
Ameiurus melas,BE,2017-01-29,Yes
Ameiurus melas,BE,2017-05-21,Yes
Ameiurus melas,BG,2021-11-28,Yes
Ameiurus melas,BG,2023-05-07,Yes
Ameiurus melas,BG,2023-06-25,Yes
Ameiurus melas,CY,2016-10-23,Yes
Ameiurus melas,CZ,2022-12-18,Yes
Ameiurus melas,CZ,2023-09-17,Yes
Ameiurus melas,CZ,2024-05-19,Yes
Ameiurus melas,CZ,2024-07-21,Yes
Ameiurus melas,DE,2023-10-01,Yes
Ameiurus melas,DE,2024-03-31,Yes
Ameiurus melas,DE,2024-11-17,Yes
Ameiurus melas,DE,2024-11-24,Yes
Ameiurus melas,DK,2015-12-27,Yes
Ameiurus melas,DK,2016-03-27,Yes
Ameiurus melas,EE,2022-09-04,Yes
Ameiurus melas,ES,2019-01-06,Yes
Ameiurus melas,ES,2020-07-05,Yes
Ameiurus melas,FI,2017-11-05,Yes
Ameiurus melas,FI,2019-11-24,Yes
Ameiurus melas,FI,2023-10-08,Yes
Ameiurus melas,FR,2023-07-09,Yes
Ameiurus melas,FR,2023-08-06,Yes
Ameiurus melas,FR,2023-08-13,Yes
Ameiurus melas,FR,2023-08-20,Yes
Ameiurus melas,GB,2018-12-30,Yes
Ameiurus melas,GB,2019-08-18,Yes
Ameiurus melas,GB,2020-04-12,Yes
Ameiurus melas,GB,2022-01-30,Yes
Ameiurus melas,GR,2017-11-19,Yes
Ameiurus melas,HR,2021-07-04,Yes
Ameiurus melas,HR,2022-12-11,Yes
Ameiurus melas,HU,2016-02-07,Yes
Ameiurus melas,HU,2022-10-02,Yes
Ameiurus melas,HU,2024-08-11,Yes
Ameiurus melas,HU,2024-09-22,Yes
Ameiurus melas,IE,2018-06-03,Yes
Ameiurus melas,IT,2019-12-29,Yes
Ameiurus melas,IT,2020-08-16,Yes
Ameiurus melas,IT,2023-05-28,Yes
Ameiurus melas,IT,2023-06-04,Yes
Ameiurus melas,LU,2020-11-01,Yes
Ameiurus melas,LU,2022-01-09,Yes
Ameiurus melas,LU,2023-02-05,Yes
Ameiurus melas,NL,2016-03-20,Yes
Ameiurus melas,NL,2021-07-11,Yes
Ameiurus melas,NL,2022-06-26,Yes
Ameiurus melas,NL,2022-09-11,Yes
Ameiurus melas,PL,2019-08-11,Yes
Ameiurus melas,PL,2020-04-19,Yes
Ameiurus melas,PL,2020-05-10,Yes
Ameiurus melas,PL,2021-07-04,Yes
Ameiurus melas,RO,2016-10-23,Yes
Ameiurus melas,RO,2017-12-03,Yes
Ameiurus melas,SE,2020-05-10,Yes
Ameiurus melas,SE,2022-03-27,Yes
Ameiurus melas,SE,2023-01-08,Yes
Ameiurus melas,SE,2024-04-28,Yes
Ameiurus melas,SI,2021-10-17,Yes
Ameiurus melas,SI,2021-12-19,Yes
Ameiurus melas,SI,2023-09-10,Yes
Andropogon virginicus,AT,2016-05-29,Yes
Andropogon virginicus,AT,2018-01-21,Yes
Andropogon virginicus,BE,2024-06-23,Yes
Andropogon virginicus,BG,2016-10-02,Yes
Andropogon virginicus,BG,2020-05-10,Yes
Andropogon virginicus,BG,2022-06-12,Yes
Andropogon virginicus,CY,2020-08-30,Yes
Andropogon virginicus,CY,2022-07-10,Yes
Andropogon virginicus,CZ,2018-08-19,Yes
Andropogon virginicus,CZ,2022-03-06,Yes
Andropogon virginicus,CZ,2024-02-18,Yes
Andropogon virginicus,DK,2017-10-29,Yes
Andropogon virginicus,EE,2018-02-18,Yes
Andropogon virginicus,EE,2018-08-12,Yes
Andropogon virginicus,EE,2021-10-24,Yes
Andropogon virginicus,EE,2024-10-20,Yes
Andropogon virginicus,ES,2022-08-21,Yes
Andropogon virginicus,ES,2023-08-06,Yes
Andropogon virginicus,ES,2024-02-18,Yes
Andropogon virginicus,FI,2017-03-26,Yes
Andropogon virginicus,FI,2019-09-08,Yes
Andropogon virginicus,FR,2018-02-04,Yes
Andropogon virginicus,FR,2020-08-02,Yes
Andropogon virginicus,FR,2020-09-13,Yes
Andropogon virginicus,FR,2021-09-12,Yes
Andropogon virginicus,GB,2017-08-13,Yes
Andropogon virginicus,GB,2017-10-29,Yes
Andropogon virginicus,GB,2022-10-23,Yes
Andropogon virginicus,GB,2024-02-18,Yes
Andropogon virginicus,GR,2018-04-08,Yes
Andropogon virginicus,GR,2024-09-15,Yes
Andropogon virginicus,HU,2019-06-09,Yes
Andropogon virginicus,HU,2020-07-19,Yes
Andropogon virginicus,IE,2016-01-17,Yes
Andropogon virginicus,IT,2016-12-18,Yes
Andropogon virginicus,LT,2019-03-03,Yes
Andropogon virginicus,LT,2021-02-21,Yes
Andropogon virginicus,LV,2017-05-21,Yes
Andropogon virginicus,LV,2019-01-20,Yes
Andropogon virginicus,MT,2017-09-03,Yes
Andropogon virginicus,MT,2017-11-19,Yes
Andropogon virginicus,PL,2024-05-19,Yes
Andropogon virginicus,PT,2022-01-09,Yes
Andropogon virginicus,RO,2017-12-17,Yes
Andropogon virginicus,SE,2019-10-06,Yes
Andropogon virginicus,SI,2020-02-02,Yes
Andropogon virginicus,SI,2022-03-13,Yes
Andropogon virginicus,SK,2016-11-27,Yes
Andropogon virginicus,SK,2018-04-29,Yes
Arthurdendyus triangulatus,AT,2019-09-15,Yes
Arthurdendyus triangulatus,BE,2018-10-07,Yes
Arthurdendyus triangulatus,BG,2016-06-26,Yes
Arthurdendyus triangulatus,CY,2017-06-18,Yes
Arthurdendyus triangulatus,CZ,2019-01-27,Yes
Arthurdendyus triangulatus,DE,2016-10-02,Yes
Arthurdendyus triangulatus,DK,2018-07-29,Yes
Arthurdendyus triangulatus,EE,2016-06-05,Yes
Arthurdendyus triangulatus,EE,2016-09-04,Yes
Arthurdendyus triangulatus,ES,2016-03-13,Yes
Arthurdendyus triangulatus,ES,2018-05-20,Yes
Arthurdendyus triangulatus,ES,2021-08-08,Yes
Arthurdendyus triangulatus,FI,2016-07-31,Yes
Arthurdendyus triangulatus,FR,2022-04-10,Yes
Arthurdendyus triangulatus,GB,2016-03-13,Yes
Arthurdendyus triangulatus,GB,2020-12-20,Yes
Arthurdendyus triangulatus,GB,2020-12-27,Yes
Arthurdendyus triangulatus,GB,2021-01-17,Yes
Arthurdendyus triangulatus,HR,2018-02-18,Yes
Arthurdendyus triangulatus,HU,2022-06-05,Yes
Arthurdendyus triangulatus,IE,2021-05-23,Yes
Arthurdendyus triangulatus,IT,2016-11-27,Yes
Arthurdendyus triangulatus,IT,2019-12-08,Yes
Arthurdendyus triangulatus,LU,2016-01-24,Yes
Arthurdendyus triangulatus,LU,2020-02-09,Yes
Arthurdendyus triangulatus,LU,2023-03-19,Yes
Arthurdendyus triangulatus,LV,2022-12-25,Yes
Arthurdendyus triangulatus,NL,2020-03-01,Yes
Arthurdendyus triangulatus,PL,2021-03-14,Yes
Arthurdendyus triangulatus,RO,2020-11-22,Yes
Arthurdendyus triangulatus,RO,2023-07-09,Yes
Arthurdendyus triangulatus,SE,2020-08-30,Yes
Arthurdendyus triangulatus,SI,2021-08-22,Yes
Arthurdendyus triangulatus,SK,2017-04-23,Yes
Asclepias syriaca,AT,2019-06-23,Yes
Asclepias syriaca,AT,2020-05-24,Yes
Asclepias syriaca,AT,2020-05-31,Yes
Asclepias syriaca,AT,2020-07-19,Yes
Asclepias syriaca,BE,2019-04-28,Yes
Asclepias syriaca,BG,2021-02-21,Yes
Asclepias syriaca,CY,2016-05-29,Yes
Asclepias syriaca,CZ,2021-02-14,Yes
Asclepias syriaca,CZ,2022-08-07,Yes
Asclepias syriaca,CZ,2024-05-26,Yes
Asclepias syriaca,CZ,2024-06-02,Yes
Asclepias syriaca,DE,2016-04-03,Yes
Asclepias syriaca,DE,2024-04-21,Yes
Asclepias syriaca,DE,2024-11-03,Yes
Asclepias syriaca,DE,2024-11-17,Yes
Asclepias syriaca,DK,2019-07-28,Yes
Asclepias syriaca,DK,2020-06-28,Yes
Asclepias syriaca,DK,2023-06-04,Yes
Asclepias syriaca,EE,2023-07-30,Yes
Asclepias syriaca,ES,2016-02-07,Yes
Asclepias syriaca,ES,2016-09-11,Yes
Asclepias syriaca,FI,2016-04-24,Yes
Asclepias syriaca,FI,2020-03-01,Yes
Asclepias syriaca,FI,2023-09-17,Yes
Asclepias syriaca,FR,2017-10-15,Yes
Asclepias syriaca,FR,2018-02-04,Yes
Asclepias syriaca,FR,2021-08-08,Yes
Asclepias syriaca,FR,2023-07-30,Yes
Asclepias syriaca,GB,2017-02-19,Yes
Asclepias syriaca,GB,2017-05-28,Yes
Asclepias syriaca,GB,2023-11-26,Yes
Asclepias syriaca,GB,2024-02-25,Yes
Asclepias syriaca,GR,2019-07-07,Yes
Asclepias syriaca,HU,2018-06-17,Yes
Asclepias syriaca,HU,2018-10-07,Yes
Asclepias syriaca,HU,2022-07-03,Yes
Asclepias syriaca,HU,2023-02-12,Yes
Asclepias syriaca,IE,2019-02-10,Yes
Asclepias syriaca,IE,2019-05-26,Yes
Asclepias syriaca,IT,2018-07-15,Yes
Asclepias syriaca,IT,2019-07-14,Yes
Asclepias syriaca,IT,2022-07-10,Yes
Asclepias syriaca,IT,2023-08-27,Yes
Asclepias syriaca,LU,2017-04-23,Yes
Asclepias syriaca,LU,2021-09-05,Yes
Asclepias syriaca,LU,2024-12-08,Yes
Asclepias syriaca,LV,2021-12-19,Yes
Asclepias syriaca,LV,2024-10-27,Yes
Asclepias syriaca,NL,2017-07-09,Yes
Asclepias syriaca,NL,2018-08-12,Yes
Asclepias syriaca,NL,2019-03-31,Yes
Asclepias syriaca,NL,2019-05-12,Yes
Asclepias syriaca,PL,2021-08-29,Yes
Asclepias syriaca,PL,2022-03-20,Yes
Asclepias syriaca,PL,2023-07-09,Yes
Asclepias syriaca,PL,2024-03-17,Yes
Asclepias syriaca,PT,2017-08-27,Yes
Asclepias syriaca,PT,2018-06-24,Yes
Asclepias syriaca,RO,2020-10-11,Yes
Asclepias syriaca,RO,2022-02-13,Yes
Asclepias syriaca,SE,2016-08-21,Yes
Asclepias syriaca,SE,2017-07-30,Yes
Asclepias syriaca,SE,2021-07-11,Yes
Asclepias syriaca,SE,2022-06-26,Yes
Asclepias syriaca,SI,2018-02-18,Yes
Asclepias syriaca,SI,2019-12-29,Yes
Asclepias syriaca,SI,2023-01-01,Yes
Asclepias syriaca,SI,2023-02-05,Yes
Asclepias syriaca,SK,2017-07-23,Yes
Asclepias syriaca,SK,2024-04-21,Yes
Axis axis,AT,2017-01-01,Yes
Axis axis,AT,2017-06-11,Yes
Axis axis,AT,2023-07-09,Yes
Axis axis,BG,2019-02-24,Yes
Axis axis,BG,2019-05-19,Yes
Axis axis,BG,2022-06-12,Yes
Axis axis,BG,2024-12-22,Yes
Axis axis,CY,2016-04-10,Yes
Axis axis,CY,2017-05-14,Yes
Axis axis,CY,2020-01-12,Yes
Axis axis,CZ,2016-10-23,Yes
Axis axis,CZ,2019-08-04,Yes
Axis axis,CZ,2022-05-29,Yes
Axis axis,DE,2024-12-08,Yes
Axis axis,DE,2024-12-15,Yes
Axis axis,DK,2019-10-06,Yes
Axis axis,EE,2019-05-12,Yes
Axis axis,ES,2017-10-01,Yes
Axis axis,FI,2020-01-12,Yes
Axis axis,FI,2020-10-11,Yes
Axis axis,FI,2024-03-24,Yes
Axis axis,FI,2024-12-15,Yes
Axis axis,FR,2024-04-28,Yes
Axis axis,FR,2024-08-18,Yes
Axis axis,GB,2016-02-28,Yes
Axis axis,GB,2019-04-14,Yes
Axis axis,GB,2019-07-07,Yes
Axis axis,GB,2021-02-07,Yes
Axis axis,GR,2021-10-17,Yes
Axis axis,GR,2024-03-31,Yes
Axis axis,HU,2017-04-30,Yes
Axis axis,HU,2018-08-26,Yes
Axis axis,HU,2022-02-13,Yes
Axis axis,HU,2023-04-09,Yes
Axis axis,IT,2016-11-06,Yes
Axis axis,IT,2021-05-30,Yes
Axis axis,IT,2021-06-06,Yes
Axis axis,IT,2021-06-20,Yes
Axis axis,LT,2019-08-25,Yes
Axis axis,LT,2019-11-24,Yes
Axis axis,LT,2021-11-28,Yes
Axis axis,LT,2023-02-12,Yes
Axis axis,LU,2016-12-18,Yes
